candidate_id,skill_match_score,experience_match_score,education_match_score,semantic_similarity,shortlisted
C001,0.8,0.43,0.62,0.73,1
C002,0.75,0.76,0.27,0.61,1
C003,0.76,0.56,0.8,0.76,1
C004,0.6,0.57,0.64,0.74,1
C005,0.96,0.51,0.55,0.64,1
C006,0.57,0.76,0.96,0.51,0
C007,0.86,0.28,0.53,0.45,0
C008,0.66,0.36,0.95,0.67,0
C009,0.73,0.79,0.44,0.3,0
C010,0.88,0.65,0.38,0.61,1
C011,0.93,0.83,0.86,0.63,1
C012,0.55,0.72,0.52,0.61,0
C013,0.77,0.49,0.77,0.62,1
C014,0.77,0.74,0.84,0.6,1
C015,0.52,0.7,0.84,0.41,0
C016,0.82,0.42,0.56,0.66,1
C017,0.56,0.53,0.71,0.58,0
C018,0.7,0.42,0.73,0.72,1
C019,0.7,0.98,0.26,0.65,1
C020,0.72,0.24,0.7,0.67,0
C021,0.62,0.21,0.83,0.55,0
C022,0.85,0.53,0.85,0.56,1
C023,0.5,0.62,0.8,0.9,1
C024,0.79,0.32,0.72,0.92,0
C025,0.66,0.42,0.83,0.83,1
C026,0.74,0.61,0.58,0.66,0
C027,0.77,0.59,0.93,0.61,1
C028,0.6,0.56,0.83,0.39,0
C029,0.72,0.74,0.62,0.69,1
C030,0.72,0.51,0.62,0.51,0
C031,0.65,0.52,0.68,0.38,0
C032,0.66,0.44,0.75,0.65,0
C033,0.77,0.5,0.85,0.92,1
C034,0.5,0.53,0.94,0.4,0
C035,0.4,0.69,0.59,0.65,0
C036,0.67,0.65,0.58,0.62,0
C037,0.73,0.67,0.53,0.67,1
C038,0.95,0.32,0.52,0.73,1
C039,0.73,0.5,0.74,0.5,0
C040,0.54,0.47,0.6,0.56,0
C041,0.39,0.59,0.6,0.71,0
C042,0.71,0.82,0.61,0.48,1
C043,0.93,0.49,0.57,0.44,1
C044,0.51,0.43,0.49,0.65,0
C045,0.64,0.56,0.95,0.59,0
C046,0.74,0.49,0.55,0.63,0
C047,0.63,0.48,0.73,0.8,1
C048,0.85,0.6,0.68,0.74,1
C049,0.81,0.58,0.71,0.58,1
C050,0.5,0.37,0.9,0.64,0
C051,0.76,0.23,0.56,0.43,0
C052,0.83,0.83,0.45,0.34,1
C053,0.68,0.46,0.67,0.62,0
C054,0.52,0.85,0.42,0.71,1
C055,0.89,0.82,0.49,0.79,1
C056,0.53,0.62,0.97,0.81,1
C057,0.6,0.34,0.78,0.81,1
C058,0.79,0.4,0.51,0.75,0
C059,0.89,0.57,0.86,0.55,1
C060,0.91,0.43,0.5,0.53,0
